Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 01.160.01.920.20 2017 (4363),4363,GIZARTE SEGUR:INFORMATIKA,2017,20754.0,21191.04
1 01.160.01.920.30 2017 (4364),4364,GIZARTE SEGUR:ARTXIBOA,2017,10462.0,10611.03
1 01.160.01.929.10 2017 (4365),4365,GIZARTE SEGUR:BAKE EPITEGIA,2017,2520.0,694.04
1 01.160.01.931.00 2017 (4366),4366,GIZ.SEGURANTZA.ADMINISTRAZIO EKONOMIKOA,2017,69800.0,72651.57
1 01.160.01.932.00 2017 (4367),4367,GIZ.SEGURANTZA.BILKETA,2017,39172.0,36656.03
1 01.160.01.933.00 2017 (4368),4368,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,2017,22984.0,37186.16
1 01.160.04.132.00 2017 (4369),4369,ELKARKIDETZA:UDALTZAINGOA,2017,14767.0,14869.4
1 01.160.04.151.00 2017 (4370),4370,ELKARKIDETZA:HIRIGINTZA,2017,3657.0,2783.3
1 01.160.04.153.40 2017 (4371),4371,ELKARKIDETZA:OBRETAKO LANTALDEA,2017,10054.0,10767.6
1 01.160.04.161.00 2017 (4373),4373,ELKARKIDETZA:UR HORNIDURA,2017,2848.0,2868.6
1 01.160.04.164.00 2017 (4374),4374,ELKARKIDETZA:HILERRIA,2017,949.0,956.2
1 01.160.04.165.00 2017 (5516),5516,ELKARKIDETZA: KALE ARGITERIA,2017,0.0,0.0
1 01.160.04.171.00 2017 (4377),4377,ELKARKIDETZA:PARKEAK ETA LORATEGIAK,2017,949.0,204.9
1 01.160.04.172.20 2017 (4376),4376,ELKARKIDETZA:INGURUGIROA,2017,1696.0,1707.72
1 01.160.04.231.00 2017 (4378),4378,ELKARKIDETZA:BERDINTASUNA,2017,2521.0,2538.2
1 01.160.04.241.00 2017 (4379),4379,ELKARKIDETZA:TOKI GARAPENA,2017,1385.0,1394.4
1 01.160.04.323.10 2017 (4380),4380,ELKARKIDETZA:IKASTETXEAK,2017,3798.0,3824.8
1 01.160.04.326.01 2017 (4382),4382,ELKARKIDETZA:MUSIKA ESKOLA,2017,10167.0,10352.72
1 01.160.04.332.10 2017 (4384),4384,ELKARKIDETZA:LIBURUTEGIA,2017,6177.0,6220.2
1 01.160.04.333.00 2017 (4385),4385,ELKARKIDETZA:KULTUR ETXEA,2017,1899.0,1912.4
1 01.160.04.335.00 2017 (4386),4386,ELKARKIDETZA:EUSKARA ZERBITZUA,2017,5290.0,5327.0
1 01.160.04.335.10 2017 (4387),4387,ELKARKIDETZA:EUSKALTEGIA,2017,9444.0,10008.2
1 01.160.04.335.30 2017 (4388),4388,ELKARKIDETZA:EUSKARA PLANA,2017,2769.0,2290.8
